Projected,Projected,,Area of Use,Revision,Geog.,Map,Geographic,Map Projection,Map Projection,Information,Remarks,PCS,PCS
Coordinate System,Coordinate System,PCS,,Date,C.S.,Projn.,C.S.,Zone,Zone,Source,,Name,Abbr
Name,Abbreviation,Code,,,Code,Code,Name,,Abbreviation,,,Length,Length

Ain el Abd / UTM zone 39N,,20439,Saudi Arabia - east of 48 degrees East,02-Jun-95,4204,16039,Ain el Abd,UTM zone 39N,,,,abbr req (25),0
Ain el Abd / Bahrain Grid,,20499,Bahrain,02-Jun-95,4204,19900,Ain el Abd,Bahrain State Grid,Bahrain Grid,,,abbr req (25),0
Aratu / UTM zone 22S,,20822,Brazil - coastal areas south of 2 deg 55 min S and west of 48 deg W,02-Jun-95,4208,16122,Aratu,UTM zone 22S,,,,20,0
Aratu / UTM zone 23S,,20823,Brazil - coastal areas south of 2 deg 55 min S and between 48 and 42 deg W,02-Jun-95,4208,16123,Aratu,UTM zone 23S,,,,20,0
Aratu / UTM zone 24S,,20824,Brazil - coastal areas south of 2 deg 55 min S and east of 42 deg W,02-Jun-95,4208,16124,Aratu,UTM zone 24S,,,,20,0
Arc 1950 / Lo13,,20973,Southern Africa - 12 to 14 deg E,02-Jun-95,4209,17513,Arc 1950,Lo13,,,,15,0
Arc 1950 / Lo15,,20975,Southern Africa - 14 to 16 deg E,02-Jun-95,4209,17515,Arc 1950,Lo15,,,,15,0
Arc 1950 / Lo17,,20977,Southern Africa - 16 to 18 deg E,02-Jun-95,4209,17517,Arc 1950,Lo17,,,,15,0
Arc 1950 / Lo19,,20979,Southern Africa - 18 to 20 deg E,02-Jun-95,4209,17519,Arc 1950,Lo19,,,,15,0
Arc 1950 / Lo21,,20981,Southern Africa - 20 to 22 deg E,02-Jun-95,4209,17521,Arc 1950,Lo21,,,,15,0
Arc 1950 / Lo23,,20983,Southern Africa - 22 to 24 deg E,02-Jun-95,4209,17523,Arc 1950,Lo23,,,,15,0
Arc 1950 / Lo25,,20985,Southern Africa - 24 to 26 deg E,02-Jun-95,4209,17525,Arc 1950,Lo25,,,,15,0
Arc 1950 / Lo27,,20987,Southern Africa - 26 to 28 deg E,02-Jun-95,4209,17527,Arc 1950,Lo27,,,,15,0
Arc 1950 / Lo29,,20989,Southern Africa - 28 to 30 deg E,02-Jun-95,4209,17529,Arc 1950,Lo29,,,,15,0
Arc 1950 / Lo31,,20991,Southern Africa - 30 to 32 deg E,02-Jun-95,4209,17531,Arc 1950,Lo31,,,,15,0
Arc 1950 / Lo33,,20993,Southern Africa - 32 to 34 deg E,02-Jun-95,4209,17533,Arc 1950,Lo33,,,,15,0
Arc 1950 / Lo35,,20995,Southern Africa - 34 to 36 deg E,02-Jun-95,4209,17535,Arc 1950,Lo35,,,,15,0
ATF (Paris) / Nord de Guerre,ATF / Nord de Guerre,27500,France - Alsace,02-Jun-95,4901,19903,ATF (Paris),Nord de Guerre,,,,abbr req (28),20
Batavia (Jakarta) / NEIEZ,Batavia / NEIEZ,21100,Indonesia - Java,02-Jun-95,4813,19905,Batavia (Jakarta),Netherlands East Indies Equatorial Zone,NEIEZ,,,abbr req (25),15
Batavia / UTM zone 48S,,21148,Indonesia - Java west of 108 deg E,02-Jun-95,4211,16148,Batavia,UTM zone 48S,,,,22,0
Batavia / UTM zone 49S,,21149,Indonesia - Java between 108 and 114 deg E,02-Jun-95,4211,16149,Batavia,UTM zone 49S,,,,22,0
Batavia / UTM zone 50S,,21150,Indonesia - Java east of 114 deg E,02-Jun-95,4211,16150,Batavia,UTM zone 50S,,,,22,0
Beijing 1954 / Gauss-Kruger zone 13,Beijing / Gauss zone 13,21413,China - west of 78 deg E,02-Jun-95,4214,16213,Beijing 1954,Gauss-Kruger zone 13,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 14,Beijing / Gauss zone 14,21414,China - 78 deg E to 84 deg E,02-Jun-95,4214,16214,Beijing 1954,Gauss-Kruger zone 14,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 15,Beijing / Gauss zone 15,21415,China - 84 deg E to 90 deg E,02-Jun-95,4214,16215,Beijing 1954,Gauss-Kruger zone 15,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 16,Beijing / Gauss zone 16,21416,China - 90 deg E to 96 deg E,02-Jun-95,4214,16216,Beijing 1954,Gauss-Kruger zone 16,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 17,Beijing / Gauss zone 17,21417,China - 96 deg E to 102eg E,02-Jun-95,4214,16217,Beijing 1954,Gauss-Kruger zone 17,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 18,Beijing / Gauss zone 18,21418,China - 102 deg E to 108 deg E,02-Jun-95,4214,16218,Beijing 1954,Gauss-Kruger zone 18,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 19,Beijing / Gauss zone 19,21419,China - 108 deg E to 114 deg E,02-Jun-95,4214,16219,Beijing 1954,Gauss-Kruger zone 19,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 20,Beijing / Gauss zone 20,21420,China - 114 deg E to 120 deg E,02-Jun-95,4214,16220,Beijing 1954,Gauss-Kruger zone 20,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 21,Beijing / Gauss zone 21,21421,China - 120 deg E to 126 deg E,02-Jun-95,4214,16221,Beijing 1954,Gauss-Kruger zone 21,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 22,Beijing / Gauss zone 22,21422,China - 126 deg E to 132 deg E,02-Jun-95,4214,16222,Beijing 1954,Gauss-Kruger zone 22,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger zone 23,Beijing / Gauss zone 23,21423,China - east of 132 deg E,02-Jun-95,4214,16223,Beijing 1954,Gauss-Kruger zone 23,,,,abbr req (35),23
Beijing 1954 / Gauss-Kruger 13N,Beijing / Gauss 13N,21473,China - west of 78 deg E,02-Jun-95,4214,16313,Beijing 1954,Gauss-Kruger 13N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 14N,Beijing / Gauss 14N,21474,China - 78 deg E to 84 deg E,02-Jun-95,4214,16314,Beijing 1954,Gauss-Kruger 14N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 15N,Beijing / Gauss 15N,21475,China - 84 deg E to 90 deg E,02-Jun-95,4214,16315,Beijing 1954,Gauss-Kruger 15N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 16N,Beijing / Gauss 16N,21476,China - 90 deg E to 96 deg E,02-Jun-95,4214,16316,Beijing 1954,Gauss-Kruger 16N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 17N,Beijing / Gauss 17N,21477,China - 96 deg E to 102eg E,02-Jun-95,4214,16317,Beijing 1954,Gauss-Kruger 17N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 18N,Beijing / Gauss 18N,21478,China - 102 deg E to 108 deg E,02-Jun-95,4214,16318,Beijing 1954,Gauss-Kruger 18N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 19N,Beijing / Gauss 19N,21479,China - 108 deg E to 114 deg E,02-Jun-95,4214,16319,Beijing 1954,Gauss-Kruger 19N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 20N,Beijing / Gauss 20N,21480,China - 114 deg E to 120 deg E,02-Jun-95,4214,16320,Beijing 1954,Gauss-Kruger 20N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 21N,Beijing / Gauss 21N,21481,China - 120 deg E to 126 deg E,02-Jun-95,4214,16321,Beijing 1954,Gauss-Kruger 21N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 22N,Beijing / Gauss 22N,21482,China - 126 deg E to 132 deg E,02-Jun-95,4214,16322,Beijing 1954,Gauss-Kruger 22N,,,,abbr req (31),19
Beijing 1954 / Gauss-Kruger 23N,Beijing / Gauss 23N,21483,China - east of 132 deg E,02-Jun-95,4214,16323,Beijing 1954,Gauss-Kruger 23N,,,,abbr req (31),19
Belge 1950 / Belge Lambert 50,Belge Lambert 50,21500,Belgium - onshore,02-Jun-95,4215,19901,Belge 1950,Belge Lambert 50,,,Superceded by Belge Lambert 72.,abbr req (29),16
Belge 1972 / Belge Lambert 72,Belge Lambert 72,31300,Belgium - onshore,02-Jun-95,4313,19902,Belge 1972,Belge Lambert 72,,,,abbr req (29),16
Bern 1898 (Bern) / Swiss Old Grid,Bern 1898 / Swiss Old,21790,Liechtenstein                                                                                              Switzerland,02-Jun-95,4801,19923,Bern 1898 (Bern),Swiss Old Grid,,,,abbr req (33),21
Bern 1938 / Swiss New Grid,Bern 1938 / Swiss New,30600,Liechtenstein                                                                                              Switzerland,02-Jun-95,4306,19922,Bern 1938,Swiss New Grid,,,,abbr req (26),21
Bogota / UTM zone 17N,,21817,Colombia - offshore west of 78 deg W of Greenwich,02-Jun-95,4218,16017,Bogota,UTM zone 17N,,,,21,0
Bogota / UTM zone 18N,,21818,Colombia - offshore east of 78 deg W of Greenwich,02-Jun-95,4218,16018,Bogota,UTM zone 18N,,,,21,0
Bogota (Bogota) / Colombia 3W,Bogota / Colombia 3W,21891,Colombia - west of 1 deg 30 min W of Bogota (75d 34m 51.30s W of Greenwich),02-Jun-95,4802,18051,Bogota (Bogota),Colombia West zone,Colombia 3W,,,abbr req (29),20
Bogota (Bogota) / Colombia Bogota,Bogota / Colombia Bogota,21892,Colombia - 1 deg 30 min W to 1 deg 30 min E of Bogota (75d 35m W to 72d 35m W of Greenwich),02-Jun-95,4802,18052,Bogota (Bogota),Colombia Bogota zone,Colombia Bogota,,,abbr req (33),24
Bogota (Bogota) / Colombia 3E,Bogota / Colombia 3E,21893,Colombia - 1 deg 30 min to 4 deg 30 min E of Bogota (72d 35m to 69d 34m W of Greenwich),02-Jun-95,4802,18053,Bogota (Bogota),Colombia East Central zone,Colombia 3E,,,abbr req (29),20
Bogota (Bogota) / Colombia 6E,Bogota / Colombia 6E,21894,Colombia - east of 4 deg 30 min E of Bogota (69d 34m 51.3s W of Greenwich),02-Jun-95,4802,18054,Bogota (Bogota),Colombia East zone,Colombia 6E,,,abbr req (29),20
Camacupa / UTM zone 32S,Camacupa / UTM 32S,22032,Angola - west of 12 deg E,02-Jun-95,4220,16132,Camacupa,UTM zone 32S,,,,23,18
Camacupa / UTM zone 33S,Camacupa / UTM 33S,22033,Angola - east of 12 deg E,02-Jun-95,4220,16133,Camacupa,UTM zone 33S,,,,23,18
Campo Inchauspe / Argentina 1,C Inchauspe /Argentina 1,22191,Argentina - west of 70 deg 30 min W,02-Jun-95,4221,18031,Campo Inchauspe,Argentina zone 1,Argentina 1,,,abbr req (29),24
Campo Inchauspe / Argentina 2,C Inchauspe /Argentina 2,22192,Argentina - between 70 deg 30 min and 67 deg 30 min W,02-Jun-95,4221,18032,Campo Inchauspe,Argentina zone 2,Argentina 2,,,abbr req (29),24
Campo Inchauspe / Argentina 3,C Inchauspe /Argentina 3,22193,Argentina - between 67 deg 30 min and 64 deg 30 min W,02-Jun-95,4221,18033,Campo Inchauspe,Argentina zone 3,Argentina 3,,,abbr req (29),24
Campo Inchauspe / Argentina 4,C Inchauspe /Argentina 4,22194,Argentina - between 64 deg 30 min and 61 deg 30 min W,02-Jun-95,4221,18034,Campo Inchauspe,Argentina zone 4,Argentina 4,,,abbr req (29),24
Campo Inchauspe / Argentina 5,C Inchauspe /Argentina 5,22195,Argentina - between 61 deg 30 min and 58 deg 30 min W,02-Jun-95,4221,18035,Campo Inchauspe,Argentina zone 5,Argentina 5,,,abbr req (29),24
Campo Inchauspe / Argentina 6,C Inchauspe /Argentina 6,22196,Argentina - between 58 deg 30 min and 55 deg 30 min W,02-Jun-95,4221,18036,Campo Inchauspe,Argentina zone 6,Argentina 6,,,abbr req (29),24
Campo Inchauspe / Argentina 7,C Inchauspe /Argentina 7,22197,Argentina - east of 55 deg 30 min W,02-Jun-95,4221,18037,Campo Inchauspe,Argentina zone 7,Argentina 7,,,abbr req (29),24
Carthage / Nord Tunisie,,22391,Tunisia - north of 38.5g (34 deg 39 min) N,02-Jun-95,4223,18181,Carthage,Nord Tunisie,,,,23,0
Carthage / Sud Tunisie,,22392,Tunisia - south of 38.5g (34 deg 39 min) N,02-Jun-95,4223,18182,Carthage,Sud Tunisie,,,,22,0
Carthage / UTM zone 32N,,22332,Tunisia - offshore,02-Jun-95,4223,16032,Carthage,UTM zone 32N,,,,23,0
Corrego Alegre / UTM zone 23S,Corrego Alegre / UTM 23S,22523,Brazil - NE coastal area between 45 deg W and 42 deg W.,02-Jun-95,4225,16123,Corrego Alegre,UTM zone 23S,,,,abbr req (29),24
Corrego Alegre / UTM zone 24S,Corrego Alegre / UTM 24S,22524,Brazil - NE coastal area between 42 deg W and 40 deg W.,02-Jun-95,4225,16124,Corrego Alegre,UTM zone 24S,,,,abbr req (29),24
Datum 73 / UTM zone 29N,,27429,Portugal - onshore,02-Jun-95,4274,16029,Datum 73,UTM zone 29N,,,,23,0
DHDN / Germany zone 1,,31491,Germany - onshore west of 4 deg 30 min E,02-Jun-95,4314,18101,DHDN,Germany zone 1,,,,21,0
DHDN / Germany zone 2,,31492,Germany - onshore between 4 deg 30 min and 7 deg 30 min E,02-Jun-95,4314,18102,DHDN,Germany zone 2,,,,21,0
DHDN / Germany zone 3,,31493,Germany - onshore between 7 deg 30 min and 10 deg 30 min E,02-Jun-95,4314,18103,DHDN,Germany zone 3,,,,21,0
DHDN / Germany zone 4,,31494,Germany - onshore between 10 deg 30 min and 13 deg 30 min E,02-Jun-95,4314,18104,DHDN,Germany zone 4,,,,21,0
DHDN / Germany zone 5,,31495,Germany - onshore between 13 deg 30 min and 16 deg 30 min E,02-Jun-95,4314,18105,DHDN,Germany zone 5,,,,21,0
Douala / UTM zone 32N,,22832,Cameroon,02-Jun-95,4228,16032,Douala,UTM zone 32N,,,,21,0
ED50 / UTM zone 28N,,23028,Europe - 18deg West to 12deg West,02-Jun-95,4230,16028,ED50,UTM zone 28N,,,,19,0
ED50 / UTM zone 29N,,23029,Europe - 12deg West to 6deg West,02-Jun-95,4230,16029,ED50,UTM zone 29N,,,,19,0
ED50 / UTM zone 30N,,23030,Europe - 6deg West to 0deg,02-Jun-95,4230,16030,ED50,UTM zone 30N,,,,19,0
ED50 / UTM zone 31N,,23031,Europe - 0deg to 6deg East,02-Jun-95,4230,16031,ED50,UTM zone 31N,,,,19,0
ED50 / UTM zone 32N,,23032,Europe - 6deg East to 12deg East,02-Jun-95,4230,16032,ED50,UTM zone 32N,,,,19,0
ED50 / UTM zone 33N,,23033,Europe - 12deg East to 18deg East,02-Jun-95,4230,16033,ED50,UTM zone 33N,,,,19,0
ED50 / UTM zone 34N,,23034,Europe - 18deg East to 24deg East,02-Jun-95,4230,16034,ED50,UTM zone 34N,,,,19,0
ED50 / UTM zone 35N,,23035,Europe - 24deg East to 30deg East,02-Jun-95,4230,16035,ED50,UTM zone 35N,,,,19,0
ED50 / UTM zone 36N,,23036,Europe - 30deg East to 36deg East,02-Jun-95,4230,16036,ED50,UTM zone 36N,,,,19,0
ED50 / UTM zone 37N,,23037,Europe - 36deg East to 42deg East,02-Jun-95,4230,16037,ED50,UTM zone 37N,,,,19,0
ED50 / UTM zone 38N,,23038,Europe - 42deg East to 48deg East,02-Jun-95,4230,16038,ED50,UTM zone 38N,,,,19,0
Egypt 1907 / Red Belt,,22992,Egypt  - east of 29 deg E,02-Jun-95,4229,18072,Egypt 1907,Egypt Red Belt,Red Belt,,,21,0
Egypt 1907 / Purple Belt,,22993,Egypt -  west of 29 deg E; north of approx 28 deg 11 min N,02-Jun-95,4229,18073,Egypt 1907,Egypt Purple Belt,Purple Belt,,,24,0
Egypt 1907 / Extended Purple Belt,Egypt 1907 / Ext. Purple,22994,Egypt  - west of 29 deg E; south of approx 28 deg 11 min N,02-Jun-95,4229,18074,Egypt 1907,Egypt Extended Purple Belt,Extended Purple Belt,,,abbr req (33),24
Fahud / UTM zone 39N,,23239,Oman - west of 54 deg E,02-Jun-95,4232,16039,Fahud,UTM zone 39N,,,,20,0
Fahud / UTM zone 40N,,23240,Oman - east of 54 deg E,02-Jun-95,4232,16040,Fahud,UTM zone 40N,,,,20,0
Garoua / UTM zone 33N,,23433,Cameroon,02-Jun-95,4234,16033,Garoua,UTM zone 33N,,,,21,0
GD49 / New Zealand Map Grid,GD49 / NZ Map Grid,27200,New Zealand,02-Jun-95,4272,19917,GD49,New Zealand Map Grid,,,,abbr req (27),18
GD49 / North Island Grid,,27291,New Zealand - North Island,02-Jun-95,4272,18141,GD49,New Zealand North Island National Grid,North Island Grid,,Conversion factor used: Sears Ratio,24,0
GD49 / South Island Grid,,27292,New Zealand - South Island,02-Jun-95,4272,18142,GD49,New Zealand South Island National Grid,South Island Grid,,Conversion factor used: Sears Ratio,24,0
GDA94 / MGA zone 48,,28348,Australia - 102deg East to 108deg East,02-Jun-95,4283,17348,GDA94,Map Grid of Australia zone 48,MGA zone 48,,,19,0
GDA94 / MGA zone 49,,28349,Australia - 108deg East to 114deg East,02-Jun-95,4283,17349,GDA94,Map Grid of Australia zone 49,MGA zone 49,,,19,0
GDA94 / MGA zone 50,,28350,Australia - 114deg East to 120deg East,02-Jun-95,4283,17350,GDA94,Map Grid of Australia zone 50,MGA zone 50,,,19,0
GDA94 / MGA zone 51,,28351,Australia - 120deg East to 126deg East,02-Jun-95,4283,17351,GDA94,Map Grid of Australia zone 51,MGA zone 51,,,19,0
GDA94 / MGA zone 52,,28352,Australia - 126deg East to 132deg East,02-Jun-95,4283,17352,GDA94,Map Grid of Australia zone 52,MGA zone 52,,,19,0
GDA94 / MGA zone 53,,28353,Australia - 132deg East to 138deg East,02-Jun-95,4283,17353,GDA94,Map Grid of Australia zone 53,MGA zone 53,,,19,0
GDA94 / MGA zone 54,,28354,Australia - 138deg East to 144deg East                                                                     ,02-Jun-95,4283,17354,GDA94,Map Grid of Australia zone 54,MGA zone 54,,,19,0
GDA94 / MGA zone 55,,28355,Australia - 144deg East to 150deg East                                                                     ,02-Jun-95,4283,17355,GDA94,Map Grid of Australia zone 55,MGA zone 55,,,19,0
GDA94 / MGA zone 56,,28356,Australia - 150deg East to 156deg East,02-Jun-95,4283,17356,GDA94,Map Grid of Australia zone 56,MGA zone 56,,,19,0
GDA94 / MGA zone 57,,28357,Australia - 156deg East to 162deg East,02-Jun-95,4283,17357,GDA94,Map Grid of Australia zone 57,MGA zone 57,,,19,0
GDA94 / MGA zone 58,,28358,Australia - 162deg East to 168deg East,02-Jun-95,4283,17358,GDA94,Map Grid of Australia zone 58,MGA zone 58,,,19,0
ID74 / UTM zone 46N,,23846,Indonesia - north of equator and west of 96 deg E,02-Jun-95,4238,16046,ID74,UTM zone 46N,,,,19,0
ID74 / UTM zone 46S,,23886,Indonesia - south of equator and west of 96 deg E,02-Jun-95,4238,16146,ID74,UTM zone 46S,,,,19,0
ID74 / UTM zone 47N,,23847,Indonesia - north of equator and between 96 deg and 102 deg E,02-Jun-95,4238,16047,ID74,UTM zone 47N,,,,19,0
ID74 / UTM zone 47S,,23887,Indonesia - south of equator and between 96 deg and 102 deg E,02-Jun-95,4238,16147,ID74,UTM zone 47S,,,,19,0
ID74 / UTM zone 48N,,23848,Indonesia - north of equator and between 102 deg and 108 deg E,02-Jun-95,4238,16048,ID74,UTM zone 48N,,,,19,0
ID74 / UTM zone 48S,,23888,Indonesia - south of equator and between 102 deg and 108 deg E,02-Jun-95,4238,16148,ID74,UTM zone 48S,,,,19,0
ID74 / UTM zone 49N,,23849,Indonesia - north of equator and between 108 deg and 114 deg E,02-Jun-95,4238,16049,ID74,UTM zone 49N,,,,19,0
ID74 / UTM zone 49S,,23889,Indonesia - south of equator and between 108 deg and 114 deg E,02-Jun-95,4238,16149,ID74,UTM zone 49S,,,,19,0
ID74 / UTM zone 50N,,23850,Indonesia - north of equator and between 114 deg and 120 deg E,02-Jun-95,4238,16050,ID74,UTM zone 50N,,,,19,0
ID74 / UTM zone 50S,,23890,Indonesia - south of equator and between 114 deg and 120 deg E,02-Jun-95,4238,16150,ID74,UTM zone 50S,,,,19,0
ID74 / UTM zone 51N,,23851,Indonesia - north of equator and between 120 deg and 126 deg E,02-Jun-95,4238,16051,ID74,UTM zone 51N,,,,19,0
ID74 / UTM zone 51S,,23891,Indonesia - south of equator and between 120 deg and 126 deg E,02-Jun-95,4238,16151,ID74,UTM zone 51S,,,,19,0
ID74 / UTM zone 52N,,23852,Indonesia - north of equator and between 126 deg and 132 deg E,02-Jun-95,4238,16052,ID74,UTM zone 52N,,,,19,0
ID74 / UTM zone 52S,,23892,Indonesia - south of equator and between 126 deg and 132 deg E,02-Jun-95,4238,16152,ID74,UTM zone 52S,,,,19,0
ID74 / UTM zone 53N,,23853,Indonesia - north of equator and east of 132 deg E,02-Jun-95,4238,16053,ID74,UTM zone 53N,,,,19,0
ID74 / UTM zone 53S,,23893,Indonesia - south of equator and between 132 deg and 138 deg E,02-Jun-95,4238,16153,ID74,UTM zone 53S,,,,19,0
ID74 / UTM zone 54S,,23894,Indonesia - south of equator and east of 138 deg E,02-Jun-95,4238,16154,ID74,UTM zone 54S,,,,19,0
Indian 1954 / UTM zone 47N,Indian 1954 / UTM 47N,23947,Myanmar - east of 96 deg E                                                                                                                                Thailand - west of 102 deg E,02-Jun-95,4239,16047,Indian 1954,UTM zone 47N,,,,abbr req (26),21
Indian 1954 / UTM zone 48N,Indian 1954 / UTM 48N,23948,Thailand - east of 102 deg E,02-Jun-95,4239,16048,Indian 1954,UTM zone 48N,,,,abbr req (26),21
Indian 1975 / UTM zone 47N,Indian 1975 / UTM 47N,24047,Thailand - west of 102 deg E,02-Jun-95,4240,16047,Indian 1975,UTM zone 47N,,,,abbr req (26),21
Indian 1975 / UTM zone 48N,Indian 1975 / UTM 48N,24048,Thailand - east of 102 deg E,02-Jun-95,4240,16048,Indian 1975,UTM zone 48N,,,,abbr req (26),21
JAD69 / Jamaica National Grid,JAD69 / Jamaica Grid,24200,Jamaica,02-Jun-95,4242,19910,JAD69,Jamaica National Grid,,,,abbr req (29),20
Jamaica 1875 / Jamaica (Old Grid),Jamaica 1875 / Old Grid,24100,Jamaica,02-Jun-95,4241,19909,Jamaica 1875,Jamaica (Old Grid),,,,abbr req (33),23
Kalianpur / India zone 0,Kalianpur / India 0,24370,India  - north of 35 deg 30 min N                                                                                               Pakistan - north of 35 deg 30 min N,02-Jun-95,4243,18110,Kalianpur,India zone 0,,,,24,19
Kalianpur / India zone I,Kalianpur / India I,24371,India - 28 deg to 35 deg 30 min N                                                                                               Pakistan - 28 deg to 35 deg 30 min N,02-Jun-95,4243,18111,Kalianpur,India zone I,,,,24,19
